model,model_role,parameter,paper_full_value,quick_debug_value,actual_used_value,status,notes
XGBoost,primary_component,colsample_bytree,0.7,0.7,0.7,match,
XGBoost,primary_component,eval_metric,logloss,logloss,logloss,match,
XGBoost,primary_component,learning_rate,0.03,0.03,0.03,match,
XGBoost,primary_component,max_depth,5,5,5,match,
XGBoost,primary_component,min_child_weight,3,3,3,match,
XGBoost,primary_component,n_estimators,300,300,300,match,
XGBoost,primary_component,n_jobs,1,1,1,match,
XGBoost,primary_component,objective,binary:logistic,binary:logistic,binary:logistic,match,
XGBoost,primary_component,random_state,42,42,42,match,
XGBoost,primary_component,reg_alpha,0.1,0.1,0.1,match,
XGBoost,primary_component,reg_lambda,1.0,1.0,1.0,match,
XGBoost,primary_component,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
XGBoost,primary_component,subsample,0.8,0.8,0.8,match,
XGBoost,primary_component,tree_method,hist,hist,hist,match,
Random Forest,primary_component,class_weight,balanced,balanced,balanced,match,
Random Forest,primary_component,max_depth,,,,match,
Random Forest,primary_component,max_features,sqrt,sqrt,sqrt,match,
Random Forest,primary_component,n_estimators,500,500,500,match,
Random Forest,primary_component,n_jobs,1,1,1,match,
Random Forest,primary_component,random_state,42,42,42,match,
Extra Trees,primary_component,class_weight,balanced,balanced,balanced,match,
Extra Trees,primary_component,max_depth,,,,match,
Extra Trees,primary_component,max_features,0.5,0.5,0.5,match,
Extra Trees,primary_component,n_estimators,500,500,500,match,
Extra Trees,primary_component,n_jobs,1,1,1,match,
Extra Trees,primary_component,random_state,42,42,42,match,
Gradient Boosting,primary_component,learning_rate,0.03,0.03,0.03,match,
Gradient Boosting,primary_component,max_depth,3,3,3,match,
Gradient Boosting,primary_component,n_estimators,200,200,200,match,
Gradient Boosting,primary_component,random_state,42,42,42,match,
Gradient Boosting,primary_component,subsample,0.8,0.8,0.8,match,
Logistic Regression,comparison,class_weight,balanced,balanced,balanced,match,
Logistic Regression,comparison,max_iter,5000,5000,5000,match,
Logistic Regression,comparison,random_state,42,42,42,match,
Logistic Regression,comparison,solver,lbfgs,lbfgs,lbfgs,match,
LightGBM,primary_component,colsample_bytree,0.7,0.7,0.7,match,
LightGBM,primary_component,learning_rate,0.03,0.03,0.03,match,
LightGBM,primary_component,max_depth,5,5,5,match,
LightGBM,primary_component,n_estimators,300,300,300,match,
LightGBM,primary_component,n_jobs,1,1,1,match,
LightGBM,primary_component,num_leaves,63,63,63,match,
LightGBM,primary_component,random_state,42,42,42,match,
LightGBM,primary_component,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
LightGBM,primary_component,subsample,0.8,0.8,0.8,match,
CatBoost,primary_component,allow_writing_files,False,False,False,match,
CatBoost,primary_component,depth,6,6,6,match,
CatBoost,primary_component,iterations,300,300,300,match,
CatBoost,primary_component,learning_rate,0.03,0.03,0.03,match,
CatBoost,primary_component,random_seed,42,42,42,match,
CatBoost,primary_component,scale_pos_weight_rule,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic_n_negative_train_over_n_positive_train,dynamic,
CatBoost,primary_component,thread_count,1,1,1,match,
LightGBM,primary_component,availability,optional_dependency,optional_dependency,installed,match,required by the primary six-tree ensemble
CatBoost,primary_component,availability,optional_dependency,optional_dependency,installed,match,required by the primary six-tree ensemble
Six-tree soft-voting ensemble,primary,components,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,Random Forest;Extra Trees;Gradient Boosting;XGBoost;LightGBM;CatBoost,match,six independently fitted tree classifiers
Six-tree soft-voting ensemble,primary,aggregation,equal_weight_mean_positive_class_probability,equal_weight_mean_positive_class_probability,equal_weight_mean_positive_class_probability,match,each component has weight 1/6
